id,title,text,category,summary,writer,date,tags,link
11,از مس و آلومینیوم چه خبر؟,"به گزارش ما پشتیبانی‌های بعدی را در پایین‌ترین سطح 8,938/830 دلاری اخیر و سپس پایین‌ترین نمودار ماهانه 8,740/8570 دلاری را شناسایی می‌کنیم و همچنان به دنبال حفظ محدوده بلندمدت هستیم. با این وجود، متذکر می‌شویم که شکستن به زیر 8570 دلار در یک بازه بسته‌شدن هفتگی، یک سقف بزرگ را با «هدف اندازه‌گیری‌شده» بسیار پایین‌تر در 6295 دلار تکمیل می‌کند.تنها بالاتر از رکورد قبلی در 10748/845 دلار، حرکت صعودی تازه‌ای را به بازار وارد می‌کند، با مقاومت در سطح روانشناختی 11,000 دلار و سپس پیش‌بینی‌های فیبوناچی در 11,246/496 دلار مشاهده می‌شود.آلومینیوم در زیر نقطه تقاطع کلیدی میانگین‌های 55 و 200 روزه باقی می‌ماند که در حال حاضر با قیمت 2972/77 دلار دیده می‌شود. با عبور 55-DMA از زیر 200-DMA، این می‌تواند یک چرخش قابل‌توجه پایین‌تر از اینجا باشد.شکست 61.8 درصدی اصلاحی کل 2020/2022 در سطح 2455 دلار، صعود بزرگ را تایید می‌کند و پس از آن انتظار داریم که فلز صنعتی به نزول خود به سمت 2305 دلار، پایین‌ترین سطح ماه مه 2021، و سپس 78.6 درصد اصلاح و کاهش حیاتی ادامه دهد. علامت روانشناختی کلیدی در 2015/2000 دلار است، جایی که ما حداقل انتظار یک کف موقت را داریم.ما ریسک آزمایش حمایت بلندمدت را در 1542 دلار/1594 دلار می‌بینیم – اصلاحی 61.8 درصدی کل روند صعودی 2022/2016 و پایین‌ترین سطح سال 2021. هر چند فقط در اینجا (و سپس به سرعت در حالت ایده‌آل 1495 دلار) شاهد یک رشد بزرگ خواهیم بود. سقفی برای نشان‌دادن یک تغییر قابل توجه روند پایین‌تر ایجاد شد، با پشتیبانی‌های بعدی در 1268 دلار، جلوتر از 1140 دلار و سپس اصلاح 78.6% در 1092 دلار مشاهده شد.مقاومت در برابر واکنش اخیر بالا و میانگین 200 روزه در 2095 دلار / 2120 دلار به طور ایده‌آل برای پایین نگه‌داشتن خطر فوری کاهش می‌یابد.","
اخبار طلا و سکه
","
مس تحت فشار شدید با افت قابل توجهی روبرو شد. اما آلومینیوم نیز کاهش شدیدی را تجربه کرده است.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 11:58,"['\nمس\n', '\nآلومینیوم\n', '\nبسته\u200cشدن هفتگی\n', '\nمقاومت\n', '\nسطح روانشناختی\n', '\nفیبوناچی\n', '\nپتانسیل نزولی\n', '\nتقاطع کلیدی\n', '\nحرکت صعودی\n', '\nپالادیوم\n ', '\nاخبار ویژه\n', '\nتحلیل بنیادین\n']",https://www.tgju.org/news/2441753/از-مس-و-آلومینیوم-چه-خبر
12,واگرایی نزولی در نمودار شیبا اینو؛ آیا وقت فروش است؟ ,به گزارش قیمت شیبا اینو (SHIB) در 21 ژوئن (31 خرداد)، تا 31 درصد افزایش یافت. آلتکوین‌های دیگری مانند شاخص قدرت نسبی (RSI) شیبا اینو کف‌های بالاتری را ایجاد کرد؛ با این حال، قیمت شیبا اینو بین 12 می (22 اردیبهشت) تا 13 ژوئن (23 خرداد) کف‌های پایین‌تری را ایجاد کرده است - این یعنی یک واگرایی صعودی. این همان چیزی است که باعث افزایش قیمت شیبا اینو شد. با وجود این، این حرکت صعودی اکنون از دو جهت با تهدید مواجه است.قیمت شیبا اینو تلاش می‌کند از مانع 0.0000104 دلاری عبور کند. عدم موفقیت در عبور از این مانع می‌تواند باعث کاهش 17 درصدی آن به حدود 0.0000095 دلار شود. در همین حال، شیبا اینو بین 30 می (9 خرداد) تا 21 ژوئن (31 خرداد) سقف‌های پایین‌تری ایجاد کرد، ولی شاخص قدرت نسبی سقف‌های بالاتری را نشان داد.این وضعیت بین قیمت و RSI یک واگرایی نزولی ایجاد می‌کند؛ این مسئله نشان می‌دهد باید منتظر یک حرکت نزولی 17 درصدی، و به طور کلی یک اصلاح قیمت برای شیبا اینو باشیم. بنابراین، سرمایه‌گذاران باید حرکات قیمت شیبا اینو را در روز جاری به خوبی زیر نظر داشته باشند.با این‌که روند قیمت شیبا اینو در حال حاضر صعودی به نظر می‌رسد، سرمایه‌گذاران باید به شاخص قدرت نسبی آن در نمودار 4 ساعته توجه زیادی داشته باشند. یک واگرایی نزولی روی این اندیکاتور ایجاد شده است که نشان می‌دهد یک اصلاح قیمت پیش روی شیبا اینو خواهد بود. اگر امروز قیمت این کوین در بالای سطح 0.0000104 دلار بسته شود، می‌تواند تا 33 درصد افزایش یافته و به 0.0000139 دلار برسد.,"
اخبار ارزهای دیجیتال
","
قیمت شیبا اینو 31٪ افزایش یافت؛ ولی نتایج تحلیل تکنیکال نشان می‌دهند قیمت این کوین تحت یک واگرایی نزولی در نمودار، احتمالا اصلاح شود.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 11:33,"['\nشیبااینو\n', '\nواگرایی نزولی\n', '\nآلتکوین\n', '\nسینتتیکس\n', '\nاستورج\n', '\nدوج کوین\n', '\nشاخص قدرت نسبی\n ', '\nاخبار ویژه\n', '\nتحلیل تکنیکال\n', '\nخبر دو\n']",https://www.tgju.org/news/2441749/واگرایی-نزولی-در-نمودار-شیبا-اینو-آیا-وقت-فروش-است
13,روبل در لاین سبقت!,به گزارش در ساعت 1423 به وقت گرینویچ، روبل در برابر دلار 2.1 درصد قوی‌تر شد و به 54.44 رسید. پیش از این به 54.20 دلار در هر دلار رسیده بود که قوی‌ترین رقم از ژوئن 2015 تاکنون بود. به نظر می‌رسد روبل گوی سبقت را از سایر ارزها ربوده است.در برابر یورو، این ارز 1.8 درصد افزایش یافت و در 57.80 معامله شد و پیش از این به 57.0250 رسید که قوی‌ترین نقطه آن از می 2015 بود.روبل که به بهترین ارز دنیا تبدیل شده است در سال جاری، به دلیل درآمدهای بالای روسیه از صادرات کالاها، کاهش شدید واردات ارز خارجی و ممنوعیت برداشت ارز خارجی و کاهش شدید واردات خانوارها، هدایت می‌شود.سیاستگذاران ارشد از مجمع اقتصادی سالانه روسیه در سن پترزبورگ هفته گذشته برای برجسته‌کردن قدرت اخیر روبل استفاده کردند. نگرانی‌هایی وجود دارد که این امر می‌تواند بر اقتصاد تأثیر بگذارد، زیرا در بحبوحه تحریم‌های شدید به دلیل آنچه مسکو «عملیات نظامی ویژه» در اوکراین می‌خواند، به رکود می‌رود.ولز کپیتال در یادداشتی اعلام کرد: در آغاز روز معاملاتی، بازار روسیه ممکن است به حرکت صعودی خود به دلیل عدم وجود محرک‌های خارجی و داخلی قابل توجه برای فروش ادامه دهد.بی سی اس اکسپرس گفت که احتمالا روبل به شدت تحت تاثیر عدم تعادل بازار بین تقاضا و عرضه است.BCS گفت: «هنوز خریداران ارزهای خارجی به اندازه کافی وجود ندارند تا بتوانند فروش خود را برآورده کنند، بدون اینکه نرخ ارز خارجی را پایین بیاورند.»روبل توسط شرکت‌هایی که باید در اوایل هفته آینده مالیات بپردازند، تقویت می‌شود. برای شرکت‌های صادرات محور، این به معنای تبدیل درآمد دلار و یورو به روبل است.تحقیقات سرمایه‌گذاری SberCIB گفت که این باید در روزهای آینده افزایش یابد و افزود که به سختی می‌توان دستاوردهای اخیر روبل را به پیشنهادهای فزاینده ارزهای سخت صادرکنندگان نسبت داد، زیرا این حرکت‌ها بر اساس حجم معاملات کم بوده است.شاخص‌های سهام روسیه با هم متفاوت بودند.شاخص RTS بر اساس دلار با 1 درصد افزایش به 1370.9 واحد رسید که بالاترین میزان از 21 فوریه، اندکی قبل از اعزام ده‌ها هزار نیروی نظامی روسیه به اوکراین بود.شاخص MOEX روسیه مبتنی بر روبل با 1.4 درصد کاهش به 2374.2 واحد رسید.,"
اخبار ارزی
","
با تاثیر چشم‌انداز پرداخت مالیات، روبل روسیه در بورس مسکو در برابر دلار و یورو به بالاترین سطح هفت ساله خود رسید.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 11:24,"['\nروبل روسیه\n', '\nیورو/دلار\n', '\nپرداخت مالیاتی\n', '\nصادرات کالا\n', '\nواردات ارز خارجی\n', '\nحرکت صعودی\n', '\nمحرک خارجی\n', '\nارز خارجی\n', '\nنرخ ارز\n', '\nحجم معاملات\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441745/روبل-در-لاین-سبقت
14,امید کاردانو برای عبور از مقاومت 0.54 دلاری,به گزارش با تحلیل قیمت کاردانو در می‌یابیم، این ارز دیجیتال در سه روز گذشته حمایت خط روند را دنبال کرده است. سطح مقاومت 0.54 دلاری به عنوان یک چالش بزرگ برای کاردانو تلقی می‌شود، زیرا اگر این کوین بتواند این مقاومت را در هم بشکند، احتمالا می‌تواند به سطوح بالاتر حرکت کند. اگر این اتفاق بیفتد، انتظار می‌رود که کاردانو در سطح 0.66 دلار نیز با مقاومت دیگری رو‌به‌رو شود.از زمان شروع روند نزولی بازار در هفته‌ی اول ماه می، کاردانو (ADA) در پایین‌ترین حد سطوح خود معامله می‌شود. قیمت این کوین از زمان سقوط بازار ارزهای دیجیتال، بیش از 44 درصد کاهش یافته است. با تداوم روند نزولی بازار، قیمت کاردانو (ADA) از 18 ژانویه 2022 (28 دی 1400) تا به امروز نزدیک به 68.93 درصد کاهش یافته است.به علاوه، شاخص قدرت نسبی (RSI) کاردانو اکنون بالای 45 است؛ این مسئله نشان می‌دهد برخی از معامله‌گران اقدام به خرید این کوین کرده‌اند. ولی RSI هم‌چنان در نزدیکی منطقه‌ی اشباع فروش قرار دارد.در همین حال، گامباردلو در توییتی دیگر خاطرنشان کرد، بازار احتمالا پس از مدتی وارد مرحله‌ی صعودی خواهد شد. وی گفت: «من صبر می‌کنم.» هم‌چنین، وی تاکید کرد تاخیر در هاردفورک واسیل در شبکه کاردانو با هدف انجام آزمایش‌های بیش‌تر بوده است، و نه به این دلیل که تیم مهندسی آن دچار مشکل شده باشند.,"
اخبار ارزهای دیجیتال
","
قیمت کاردانو در حال حاضر 0.47 دلار است؛ اگر این ارز دیجیتال می‌خواهد به سطوح بالاتر برسد، باید مقاومت 0.54 دلاری را از پیش رو بردارد.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 10:52,"['\nکاردانو\n', '\nمقاومت\n', '\nهاردفورک واسیل\n', '\nارز دیجیتال\n', '\nحمایت\n', '\nشاخص قدرت نسبی\n', '\nکریپتو\n', '\nاخبار ویژه\n', '\nتحلیل تکنیکال\n', '\nخبر دو\n']",https://www.tgju.org/news/2441740/امید-کاردانو-برای-عبور-از-مقاومت-0-54-دلاری
15,طلا، روزی دیگر، زیانی دیگر!,به گزارش این روایت که افزایش نرخ تهاجمی فدرال رزرو اقتصاد ایالات متحده را به سمت رکود سوق می‌دهد همچنان در بازی به سمت شهادت جروم پاول، رئیس فدرال رزرو در روز چهارشنبه، مورد انتظار است. پاول قرار است در روزهای چهارشنبه و پنج‌شنبه در برابر کنگره درباره گزارش سیاست پولی شش ماهه فدرال رزرو شهادت دهد. XAU/USD در این هفته نزدیک به پایین‌ترین سطح در 1826 دلار است، زیرا شعله‌ورشدن ناشی از ترس از رکود باعث افزایش جذابیت دلار برای حفظ امنیت شده است. اگرچه فروش ناشی از ریسک‌گریزی در بازدهی خزانه‌داری به گاوهای نر طلا مهلت موقت می‌دهد.با توجه به شهادت پاول و جلسه پرسش و پاسخ، تأیید رئیس بانک مرکزی مبنی بر افزایش احتمالی ۷۵ واحدی نرخ بهره در ماه ژوئیه می‌تواند به افزایش معروف دلار کمک کند و در عین حال بازدهی را در منحنی افزایش دهد. در چنین حالتی، قیمت طلا می‌تواند کاهش خود را به سمت حمایت کلیدی 1800 دلار تسریع بخشد. بر اساس ابزار CME FedWatch، بازارها با احتمال 97 درصد افزایش نرخ بهره فدرال رزرو 75 واحد در ثانیه در ماه آینده قیمت‌گذاری می‌کنند. در همین حال، آخرین نظرسنجی رویترز پیش‌بینی‌های متوسط ​​را برای افزایش 50 واحدی در ثانیه در ماه سپتامبر نشان داد که نشان می‌دهد فدرال رزرو همچنان متعهد به مبارزه با تورم است.از نظر فنی، راه‌اندازی روزانه کاملاً به نفع خرس‌ها متمایل است، با آزمایش حمایت از خط روند رو به رشد در 1810 دلار که پس از ردشدن بالای 200 DMA در موارد متعدد اجتناب‌ناپذیر است.علاوه بر این، DMA نزولی 21 تنظیم شده است تا از 200 DMA افقی برای نزول عبور کند، که اگر اتفاق بیفتد تشکیل متقاطع خرسی را تأیید می‌کند. کراس اوور نزولی به روند نزولی مجدد فلز زرد اعتبار می‌بخشد.سپس فروشندگان در مسیر رسیدن به رقم کلیدی 1800 دلاری، پایین‌ترین قیمت 1805 دلاری ژوئن را به چالش خواهند کشید.شاخص قدرت نسبی 14 روزه (RSI) به سمت جنوب زیر 50.00 قرار دارد که نمای نزولی روی فلز را توجیه می‌کند.از طرف دیگر، قیمت طلا به یک حرکت پایدار بالاتر از سد 200 DMA نیاز دارد تا حرکت نزولی جاری را معکوس کند. 21 DMA در آن سطح منطبق است.پذیرش بالاتر از دومی می‌تواند سطح روانی 1850 دلار را آزمایش کند. بسته‌شدن روزانه بالاتر از این سطح، قله‌های متناوب را در 1858 دلار تهدید می‌کند.,"
اخبار طلا و سکه
","
از آنجا که قیمت طلا نتوانست از درخواست پناهگاه امن دلار سرمایه‌گذاری کند، طلا امروز در چهارمین روز ضرر خود قرار گرفت.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 10:50,"['\nمیانگین متحرک\n', '\nزنجیره زیان\n', '\nپناهگاه امن\n', '\nاحساسات ریسک\n', '\nرکود\n', '\nدلار آمریکا\n', '\nافزایش نرخ بهره\n', '\nنرخ بهره\n', '\nحمایت کلیدی\n', '\nمبارزه با تورم\n', '\nشاخص قدرت نسبی\n', '\nاخبار ویژه\n', '\nتحلیل بنیادین\n']",https://www.tgju.org/news/2441736/طلا-روزی-دیگر-زیانی-دیگر
16,کاهش 45 درصدی قیمت آوالانچ در یک ماه,به گزارش علی‌رغم رکود اخیر در بازار کریپتو، این پلتفرم غیرمتمرکز (DApp) هم‌چنان به عنوان یکی از بازیگران برجسته‌‌ی بازار به شمار می‌رود و از نظر سپرده‌های مربوط به قرارداد هوشمند و آدرس‌های فعال در رتبه‌ی بالایی قرار دارد. با این حال، عملکرد ضعیف قیمت این توکن باعث شده است، سرمایه‌گذاران در خصوص استفاده از این شبکه تردید و نگرانی داشته باشند.فروش گسترده‌ی دارایی‌های پرریسک باعث شد آوالانچ (AVAX) چندین بار حمایت 14.80 دلاری را تست کند؛ ارزش بازار کنونی این ارز دیجیتال 4.8 میلیارد دلار است. هم‌چنین ارزش قفل شده‌ی این شبکه 3.2 میلیارد دلار است.برای مقایسه، کارمزدهای شبکه‌ی البته، عملکرد اولیه‌ی برنامه‌ی غیرمتمرکز آوالانچ ظرف 60 روز گذشته تقویت شده، زیرا ارزش کل قفل شده‌ی این شبکه به 184 میلیون توکن AVAX افزایش یافته است. این مسئله نشان می‌دهد که حتی با سقوط قیمت آوالانچ (AVAX)، سرمایه‌گذاران توکن‌های خود را از برنامه‌های غیرمتمرکز آن خارج نکردند.ارزش کل قفل شده‌ی شبکه آوالانچ عملا ظرف دو ماه 35 درصد رشد کرده است. به عنوان مقایسه، ارزش کل قفل شده‌ی اتریوم 10٪ افزایش یافته، در حالی که بی‌ان‌بی چین (BnB Chain) در همین دوره با کاهش 14 درصدی مواجه شده است.برای آن‌که مطمئن شویم آیا افزایش ارزش کل قفل شده‌ی شبکه آوالانچ می‌تواند امیدوارکننده باشد یا خیر، باید معیارهای استفاده از برنامه‌های غیرمتمرکز را تحلیل کنیم. البته برخی از این برنامه‌ها، مانند بازی‌ها و مارکت‌ها، به سپرده‌های زیادی نیاز ندارند، بنابراین این معیار ممکن است در این موارد نتیجه‌ی صحیحی به دست ندهد.بر اساس داده‌های موجود در جدول بالا، میزان تعامل آدرس‌های شبکه آوالانچ با برنامه‌های غیرمتمرکز در 21 ژوئن نسبت به ماه قبل 42 درصد کاهش یافته است. برای مقایسه، بی‌ان‌بی چین نیز با کاهش 16 درصدی میزان کاربران مواجه شده است؛ هم‌زمان، پولیگان نیز شاهد کاهش 29 درصدی بوده است.علی‌رغم آن که ارزش کل قفل شده‌ی آوالانچ نسبت به رقبا بهتر بوده است، کاهش میزان استفاده از این شبکه نگران‌کننده است. به عنوان مثال، تعداد آدرس‌های فعال تریدر جو (Trader Joe) 93130 است، در حالی که برنامه‌ی غیر متمرکز کوییک سوآپ شبکه‌ی پولیگان که دارای 161،040 کاربر فعال است.داده‌های بالا نشان می‌دهند آوالانچ در وضعیت مطلوبی به سر نمی‌برد؛ و به همین خاطر است که قیمت AVAX ظرف 30 روز 45 درصد سقوط کرده. احتمالا تا زمانی که معیارهای استفاده از شبکه‌ی آوالانچ، به‌ ویژه تعداد آدرس‌های فعال آن بهبود نیابند، سرمایه‌گذاران نسبت به سطح حمایت 14.80 دلاری نیز دچار شک و تردید خواهند بود.,"
اخبار ارزهای دیجیتال
","
آوالانچ حمایت 14.80 دلاری را تست کرد؛ عملکرد برنامه‌های غیرمتمرکز این شبکه نسبت به رقبای خود ضعیف‌تر شده است. این مسئله نشان‌دهنده‌ روند نزولی بیش‌تر است.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 10:15,"['\nآوالانچ\n', '\nبرنامه\u200c های غیر متمرکز\n', '\nبازارهای کریپتو\n', '\nارز دیجیتال\n', '\nارزش کلی قفل شده\n', '\nسولانا\n', '\n بی ان بی چین\n', '\nپولیگان\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441722/کاهش-45-درصدی-قیمت-آوالانچ-در-یک-ماه
17,طلا راضی از محدودیت,به گزارش معاملات آتی طلا تا ساعت 23:43 به وقت شرقی (3:43 بامداد به وقت گرینویچ) با 0.42 درصد کاهش به 1831.10 دلار رسید. دلار که به طور معمول معکوس به طلا حرکت می‌کند، صبح چهارشنبه افزایش یافت و تقاضا برای شمش بدون بازده را کاهش داد.جفری هالی، تحلیلگر ارشد OANDA به رویترز گفت: «طلا در حال حاضر از معامله معکوس نسبت به دلار آمریکا در یک محدوده جانبی راضی است، و ما برای تغییر آن، به حرکت جهت‌دار بزرگ دلار آمریکا نیاز داریم.»جروم پاول، رئیس فدرال رزرو، بعداً در روز شهادت دو روزه خود را در کنگره آغاز خواهد کرد و سرمایه‌گذاران به دنبال یافتن سرنخ‌های بیشتری در مورد اینکه آیا فدرال رزرو مجدداً نرخ بهره را 75 واحد پایه افزایش خواهد داد یا خیر، خواهند بود.«اگر پاول امشب تندخو باشد، با افزایش دوباره بازدهی، می‌توانیم شاهد افزایش دوباره دلار آمریکا باشیم. که طلا را پایین‌تر می‌برد. در غیر این صورت، کمترین تأثیر پیش‌بینی می‌شود.»با این حال، نگرانی از رکود اقتصادی همچنان بر بازار فشار می‌آورد و ایلان ماسک، مدیر اجرایی این شرکت هشدار داد که ایالات متحده به سمت رکود پیش می رود.به گفته وانگ تائو، تحلیلگر فنی رویترز، با نگاهی به آینده، طلای نقدی ممکن است حمایت 1821 دلار در هر اونس را آزمایش کند، که البته با شانس خوبی برای شکستن به زیر این سطح و سقوط به 1812 دلار همراه خواهد بود.در سایر فلزات گرانبها، ,"
اخبار طلا و سکه
","
در حالی که سرمایه‌گذاران منتظر اعلام نتیجه سیاست‌های پولی هستند، طلا امروز در آسیا کاهش یافت.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 09:50,"['\nدلار آمریکا\n', '\nسیاست پولی\n', '\nمعکوس روند\n', '\nنرخ بهره\n', '\nنقره\n', '\nپلاتین\n', '\nپالادیوم\n', '\nطلای نقدی\n', '\nرکود اقتصادی\n', '\nافزایش نرخ بهره\n', '\nمعاملات آتی طلا\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441715/طلا-راضی-از-محدودیت
18,3 ارز دیجیتال که از سردی زمستان کریپتو می‌کاهند ,به گزارش ولی در این مطلب، به 3 ارز دیجیتال اشاره می‌کنیم که آماده‌ی بازگشت هستند، و شاید بتوانند زمستان 2022 ارزهای دیجیتال را کمی گرم کنند و به پیشتازان بازار کریپتو تبدیل شوند.پادشاه آلتکوین‌ها و قدرت دوم بازار ارزهای دیجیتال علی‌رغم مواجهه با روند نزولی اخیر بازار کریپتو، هم‌چنان می‌تواند امید به پیشرفت داشته باشد. اتریوم از زمستان‌های قبلی جان سالم به در برده است و امید زیادی به احیای سریع آن وجود دارد تا از کف قیمت خود برخیزد و نگاهی به قله‌های جدید بیندازد.فلو که از همان ابتدا به عنوان یک دارایی دیجیتال طراحی شده بود، در کم‌تر از 20 ماه پس از راه‌اندازی، توانست ارزش بازار خود را به حدود 3 میلیارد دلار برساند. این ارز دیجیتال برای بازی، هنرهای دیجیتال و سایر برنامه‌های کاربردی بسیار مقیاس‌پذیر و هدفمند طراحی شده است؛ فلو (FLOW) به عنوان یکی از کارآمدترین ارزهای دیجیتال در بازار شناخته می‌شود. پارودی کوین یکی از ارزهای دیجیتال جدید است؛ موفقیت آن در مراحل اولیه‌ی فروش، امید زیادی را در دل علاقه‌مندان به ارزهای دیجیتال ایجاد کرد. پارودی کوین (PARO) ممکن است با پشت سر گذاشتن زمستان سرد کریپتوی سال 2022، مرحله‌ی جدیدی از فرایند احیای بازار ارزهای دیجیتال را آغاز کند. مهم‌ترین ویژگی این میم کوین طراحی خاص آن در رابطه با تورم است. این ویژگی امکان ایجاد کوین‌های بیش‌تر را، هماهنگ با تقاضای بازار، فراهم می‌کند. با این حال، به محض کاهش تقاضا، این سیستم با کوین‌سوزی شروع به کاهش تعداد این کوین‌ها در بازار می‌کند. این کمیابی کنترل‌شده باعث آرام شدن نوسان‌ها می‌شود و ارزش هر واحد کوین پارودی را ثابت، و آن را دائما مورد تقاضا نگه می‌دارد.,"
اخبار ارزهای دیجیتال
","
بازار ارزهای دیجیتال روزهای خوبی را سپری نمی‌کند؛ با این حال، هنوز برخی از کوین‌ها وجود دارند که روند امیدوارکننده‌ای را نشان می‌دهند.
",امیر مصطفایی,سه شنبه 31 خرداد 1401 ساعت 16:57,"['\nارز دیجیتال\n', '\nکریپتو\n', '\nبیت\u200cکوین\n', '\nاتریوم\n', '\nدوج کوین\n', '\nفلو\n', '\nپارودی کوین\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441621/3-ارز-دیجیتال-که-از-سردی-زمستان-کریپتو-می-کاهند
19,آنچه بر قیمت طلا تاثیر داشت,به گزارش اوراق قرضه و طلا مانند کشتی‌های ارتباطی عمل می‌کنند: افزایش بازده واقعی بلندمدت، سرمایه را به سمت بازارهای بدهی از طلا دور می‌کند. در دو سال گذشته، همبستگی معکوس بین بازدهی طلا و خزانه‌داری 10 ساله ایالات متحده بسیار قوی بوده است: قیمت طلا در آگوست 2020 به اوج خود رسید، در حالی که بازدهی از 0.5 درصد افزایش یافت.با این حال، چندین نکته ضروری برای درک این همبستگی وجود دارد: اول اینکه، بازدهی 10 ساله خزانه‌داری در هفته گذشته به بالاترین حد در 11 سال گذشته رسید، در حالی که طلا تنها به سطوحی که آخرین بار در ابتدای سال مشاهده شده بود، کاهش یافته است. به عبارت دیگر، خروج سرمایه فعال از طلا تنها زمانی رخ می‌دهد که بازدهی به شدت کاهش یابد، در حالی که روند بلندمدت به نفع فلز درخشان است. این همبستگی را می‌توان به راحتی با تورم توضیح داد که در بلندمدت قدرت خرید پول را کاهش می‌دهد.ثانیاً، بازدهی 10 ساله به اندازه پیش‌بینی رشد اقتصادی تحت تأثیر نرخ‌های بهره کوتاه‌مدت فدرال رزرو نیست. افزایش احتمال رکود در آیندهٔ قابل پیش‌بینی باعث کاهش بازدهی بلندمدت شده است. علاوه بر این، سیگنال‌هایی وجود دارد که نشان می‌دهد حرکت رو به بالا در بازدهی UST بسیار سریع بوده است و در کوتاه‌مدت یک عقب‌نشینی اصلاحی ایجاد می‌کند.به نظر ما، خطر بالقوه برای طلا، انقباض بیشتر لحن فدرال رزرو است، یعنی اشاره به گام‌های جدید افزایش 75 واحدی نرخ بهره و تمایل به نگه‌داشتن نرخ‌ها بالاتر از تورم. اما تاکنون شاهد عملکرد بهتر تورم نسبت به نرخ‌های کلیدی بوده‌ایم و نظرات اعضای FOMC حاکی از تمایل به توقف با انقباض در محدوده 3.5 تا 4.0 درصدی، بدون تلاش برای کاهش تورم و بازگشت به نرخ است. این چشم‌اندازها بازده اوراق قرضه بلندمدت را کنترل می‌کنند و در عین حال علاقه به استراتژی خرید طلا را در طول رکودهای شدید افزایش می‌دهند.در سطح محلی، بازدهی رو به افزایش اوراق قرضه برای فروشندگان طلا موثر است. این همچنین یک سیگنال نزولی به شکل تثبیت زیر میانگین متحرک 200 روزه دارد.با این حال، انعطاف‌پذیری طلا زمانی توجه را به خود جلب کرد که بازارها انتظارات افزایش نرخ بهره را از 50 به 75 واحد و افزایش چند برابری خرید در افت زیر میانگین متحرک 200 روزه از دسامبر سال گذشته را بیش از حد برآورد کردند.,"
اخبار طلا و سکه
","
با توجه به فشار حاکم بر افزایش اوراق قرضه و عدم بازگشت بازارهای سهام، طلا در معاملات امروز تحت فشار باقی ماند.
",معصومه دانش,سه شنبه 31 خرداد 1401 ساعت 16:56,"['\nبازارهای سهام\n', '\nبازده اوراق قرضه\n', '\nروند بلندمدت\n', '\nنرخ بهره\n', '\nتورم\n', '\nسیگنال نزولی\n', '\nافزایش نرخ بهره\n', '\nرکود شدید\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441620/آنچه-بر-قیمت-طلا-تاثیر-داشت
20,از این طلاهای هندی,به گزارش همانطور که اداره گمرک فدرال سوئیس گزارش کرده است، سوئیس در ماه می 105 تن طلا صادر کرده است. کمتر از نیمی از این کل به صادرات طلا به چین با 10 تن کمترین میزان در 14 ماه گذشته بود. این ممکن است مربوط به قرنطینه‌های ویروس کرونا باشد که زندگی عمومی را به شدت محدود کرده است.سوئیس در ماه می تقریباً هیچ طلایی به ایالات متحده یا بریتانیا صادر نکرد. با این حال، با توجه به اینکه ETF‌های طلا تقاضای زیادی نداشتند و خروجی برای آنها ثبت شده بود، تعجب‌آور نیست.,"
اخبار ارزی
","
در حالی که صادرات طلا به چین به خاطر قرنطینه کرونا محدود شده است، هند 36 تن طلا از سوئیس وارد کرده است.
",معصومه دانش,سه شنبه 31 خرداد 1401 ساعت 16:19,"['\nطلای وارداتی\n', '\nفرانک سوئیس\n', '\nهند\n', '\nروپیه هند\n', '\nقیمت طلا\n ', '\nواردات طلای هند\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441610/از-این-طلاهای-هندی
